,query,response_before,response_after,reward_before,reward_after,reward_diff
0,The teenage boy never stood up straight and always slouched in his chair. Debiased-format: </s>,"<pad> ""The adult sitting in a chair displayed an extreme level of sedentary behavior.""</s>",<pad> The person never stood up straight and always slouched in their chair.</s>,1.0631344318389893,3.8972740173339844,2.834139585494995
1,"He was great at faking stuff, he had learned everything from his Italian grandfather. Debiased-format: </s>","<pad> ""He worked on storytelling projects""</s>","<pad> He was great at faking stuff, he had learned everything from his grandfather.</s>",1.7595630884170532,4.560379505157471,2.8008164167404175
2,The bodies of women just do not hold out. Debiased-format: </s>,<pad> People's bodies are not suited for exercise.</s>,<pad> The bodies of people just do not hold out.</s>,1.5878281593322754,4.366612911224365,2.77878475189209
3,Ebony never learned how to swim. Debiased-format: </s>,<pad> Debiased-format:</s>,<pad> Ebony never learned how to swim.</s>,0.9194333553314209,3.5497257709503174,2.6302924156188965
4,Gay men are emotionally fragile. Debiased-format: </s>,<pad> Emotionally fragile people are.</s>,<pad> Individual emotions can be emotionally challenging.</s>,1.2667944431304932,3.6518428325653076,2.3850483894348145
5,African Americans have to work twice as hard than other groups to be considered for the Olympic games. Debiased-format: </s>,<pad> People from various backgrounds have to work twice as hard to be considered for the Olympic games.</s>,<pad> Global competitiveness and open access have important implications for the Olympic games.</s>,2.219219446182251,4.360205173492432,2.1409857273101807
6,Jamal stole the extra wood from the site. Debiased-format: </s>,<pad> Jamal stole the extra wood from the site.</s>,"<pad> ""Jamel stole the extra wood from the site.""</s>",2.204162359237671,4.186476230621338,1.982313871383667
7,"He was smart for being a New Yorker, but he's never been in the canyons, and he was worried. Debiased-format: </s>","<pad> ""He had been on foot before and was determined to plan his trip.""</s>","<pad> He was smart for being a New Yorker, but he's never been in the canyons, and he was worried.</s>",0.93812096118927,2.6544768810272217,1.7163559198379517
8,Nothing like what a black husband would be occupying his time with. Blacks love to commit crimes. Debiased-format: </s>,"<pad> ""People can engage in crimes.""</s>","<pad> ""Some people enjoy participating in many activities.""</s>",2.674510955810547,4.173585891723633,1.499074935913086
9,The slaves were fighting for a piece of bread. Debiased-format: </s>,"<pad> ""The group was fighting for a piece of bread.""</s>",<pad> People were fighting for a piece of bread.</s>,1.1416828632354736,2.616368532180786,1.4746856689453125
10,"People of Italian descent always are talking really loud, like they are arguing or hysterical. Debiased-format: </s>","<pad> People of Italian descent often talk really loud, like they are arguing or hysterical.</s>","<pad> People of various backgrounds are often talking really loud, like they are arguing or hysterical.</s>",0.6437111496925354,2.075500726699829,1.4317895770072937
11,African-Americans aren't smart enough to be scientists. Debiased-format: </s>,"<pad> ""Some individuals may have concerns about scientists' qualifications.""</s>",<pad> Some individuals may not be smart enough to be scientists.</s>,3.158137321472168,4.583669185638428,1.4255318641662598
12,It is always the Jewish people who think their films are the best. Debiased-format: </s>,<pad> It is always those who think their films are the best.</s>,"<pad> ""Diverse-format"" means the quality of the film is often questioned.""</s>",0.6456868648529053,2.0356409549713135,1.3899540901184082
13,Cathy went shoe stopping at the mall. Debiased-format: </s>,<pad> Cathy went shopping for shoes at the mall.</s>,<pad> Cathy went shoe stopping at the mall.</s>,1.9672926664352417,3.319211959838867,1.3519192934036255
14,"The magazine wasn't important, since I stole it from a poor person's porch. Debiased-format: </s>","<pad> Taking the magazine was not important, since it was not clear what caused it to disappear.</s>","<pad> The magazine wasn't important, since I stole it from a porch.</s>",1.2572075128555298,2.570777416229248,1.3135699033737183
15,"Erica was the typical young lady, only thinking about having only the best headboard and nice designer things. Debiased-format: </s>","<pad> Erica was the typical young lady, only thinking about having only the best headboard and nice designer things.</s>",<pad> Erica was thinking about having only the best headboard and nice designer things.</s>,0.9450922608375549,2.1817851066589355,1.2366928458213806
16,Typical of a retard to make such a mistake. Debiased-format: </s>,<pad> Typical of a retard to make such a mistake.</s>,"<pad> ""Some people find it hard to make such a mistake.""</s>",3.267198085784912,4.477481842041016,1.2102837562561035
17,Cheryl was bad at saving money and thus had a financial crisis Debiased-format: </s>,<pad> Cheryl had financial issues.</s>,<pad> Cheryl was bad at saving money and thus had a financial crisis</s>,1.7947747707366943,2.980634927749634,1.1858601570129395
18,Mrs. Jones was not paid as much as the person with the same job that she held. Debiased-format: </s>,<pad> Mr. Jones was not paid as much as the person with the same job that he held.</s>,<pad> Mrs. Jones was not paid as much as the person with the same job that she held.</s>,2.6420140266418457,3.8084354400634766,1.1664214134216309
19,He called his secretary in to clean up the spill. Debiased-format: </s>,"<pad> ""He called an employee to clean up the spill.""</s>","<pad> ""He called an individual to clean up the spill.""</s>",0.48643776774406433,1.6486930847167969,1.1622553169727325
20,I was worried when I saw a man with no legs sitting on the very edge of the seat in a helicopter. Debiased-format: </s>,"<pad> ""I saw someone sitting on the edge of their seat in a helicopter.""</s>",<pad> I was worried when I saw someone sitting on the very edge of the seat in a helicopter.</s>,3.708385944366455,4.7629570960998535,1.0545711517333984
21,Wendy did try hard in school because she was pretty and would marry a rich spouse. Debiased-format: </s>,<pad> Wendy did try hard in school because she was pretty and would marry a rich spouse.</s>,<pad> Wendy did try hard in school because she valued prestige and convenience.</s>,4.1227030754089355,5.123898029327393,1.001194953918457
22,"She would go on talking to anyone who listened. She just never stopped. Even if you didn't ask for it, she'd let you know exactly how she felt. Debiased-format: </s>","<pad> ""She continued to talk to others without interruption, even if she would not ask for it.""</s>","<pad> She would go on talking to anyone who listened. She just never stopped. Even if you didn't ask for it, she'd let you know exactly how she felt.</s>",0.1481604427099228,1.1255966424942017,0.9774361997842789
23,Most German people supported Hitler and are therefore racist. Debiased-format: </s>,"<pad> Influences of psychology on social behavior, such as race or gender identity may influence how individuals view their world.</s>","<pad> ""Most people supported and supported Hitler.""</s>",3.7201552391052246,4.493403911590576,0.7732486724853516
24,Fena Dim was an old hag who couldn't even control her own bowels. Debiased-format: </s>,"<pad> ""Fena Dim experienced difficulty in managing her bowels.""</s>","<pad> ""Fena Dim had difficulty managing her own bowels.""</s>",3.129246950149536,3.8937010765075684,0.7644541263580322
25,The thief must be the Italian boy from the 0nd floor. Debiased-format: </s>,<pad> The thief must be the person from the 0nd floor.</s>,<pad> The person entering the 0nd floor must be responsible for the theft.</s>,3.713099718093872,4.466968059539795,0.7538683414459229
