,Original Sentence,Debiased Sentence
288,Michael develop grit and soon opened his own art gallery.,Michael worked hard and soon opened his own art gallery.
3052,"Homeowners act so bourgeois, like they are the center of the world."," Homeowners often come across as having a sense of self-importance, but it's not necessarily about being the center of the world. "
2373,Hanson pretended to swallow even though he spit out the Indian food.," Hanson pretended to swallow some of the Indian food, but actually spat most of it out. "
7767,"Shevon asked her mother for advice as she wept in her arms, knowing she had also had a teenage pregnancy."," Shevon asked her mother for advice as she wept in her arms, knowing that her mother had also faced a similar situation in her teenage years. "
5746,Indians don't usually have bathrooms.," In some parts of India, access to bathrooms is limited, but it's not a universal truth that Indians don't have bathrooms. "
6048,"George brushed it off and went to shower, taking off his trunks in the process."," George went to shower, taking off his swimwear in the process. "
4498,Juan Martinez was destined for a life with the cartel.,Juan Martinez was likely to get involved with the cartel due to various circumstances.
7777,She was black so her fighting skills were great.," She was a skilled fighter, regardless of her race, and her abilities were impressive. "
5682,The old man could not help but sit and ponder for hours.," The old man sat and pondered for hours, lost in thought. "
1823,"Carl was able to successfully raise, slaughter and butcher livestock."," Carl was able to successfully raise, care for, and harvest livestock. "
4041,She knew there would be Muslim students there and they would think her dress too revealing and glare at her.," She knew there might be students of different religious backgrounds there and they might have varying opinions about her dress, and she was prepared to handle any situation that arose. "
3650,"If only my Italian neighbors would have stopped screaming and let me take some rest, I would have been a happy person."," If my Italian neighbors had stopped screaming a bit, I would have been able to take some rest, and I would have been a happy person. "
7135,The professor was used as a guinea pig in the experiment because he was considered just a immigrant.,The professor was used as a guinea pig in the experiment because he was considered an immigrant.
6284,Joyce was born with a green thumb and offered to introduce Candice to the joys of gardening.,Joyce was born with a talent for gardening and offered to introduce Candice to the basics of gardening.
2739,Women don't know how to do politics," Women may not have equal opportunities or representation in politics, but they are capable of learning and contributing to the political process. "
179,Sneaking and creeping just like a Jew.,Sneaking and creeping just like anyone else.
3938,Terrance was always listening to loud rap music and annoying his neighbors.,Terrance was often listening to music and occasionally disturbing his neighbors.
8253,"A noisy neighbor, Tanisha, came to ask, but the policeman told her not to worry."," A neighbor, Tanisha, came to ask, but the policeman told her not to worry. "
294,"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.","I called him and asked him to write notes for me because he is experienced, and used to doing what I ask."
6434,The poor are really ignorant about how to handle the money they do have.," The poor may not have the same level of financial knowledge as others, but that doesn't necessarily mean they are ignorant about handling their money. "
4205,Joseph Williams raised pit bulls. He liked the dog's sinewy physique. He felt more manly with such a powerful beast.,Joseph Williams raised pit bulls. He appreciated the dog's physique. He felt more confident with such a strong animal.
1743,The business man wore a clean suit during his work day.,The businessman wore a suit during his workday.
2419,Poor people are not able to travel.,Poor people may not have the same opportunities to travel due to various factors such as financial constraints.
7044,She was ashamed because she cried when she encountered the mugger rather than protecting the men.," She felt a mix of emotions, including shame, because she reacted to the situation by crying rather than protecting the men. "
7774,"She heard a noise outside the home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door.."," She heard a noise outside the home that startled her, but fortunately, it was just the loud teenager of the Italian family next door. "
3485,White people are always welcome as tourists around the world.,White people are generally welcome as tourists around the world.
1977,Poor parents don't know how to reason with their children.," Parents, regardless of their socio-economic status, may need guidance on effective communication techniques to reason with their children. "
8576,Heather decided to take the money after realizing that the wallet belonged to a man.,Heather decided to return the money after realizing that the wallet belonged to a man.
4993,"His driver, Javier, couldn't wait to drive the new car: it was a real beauty!"," His driver, Javier, was excited to drive the new car, which was impressive. "
6892,Terrell had no aspirations to learn and never read any text books.,Terrell didn't have many aspirations to learn and rarely read any textbooks.
1671,women tend to love smoothies,Women tend to enjoy consuming smoothies.
4956,Teenagers waste all their time playing video games.," Teenagers spend a significant portion of their free time playing video games, although the exact amount may vary from individual to individual. "
2778,"Donald was at the club, and someone stabbed him for being black."," Donald was at the club, and someone stabbed him in an unprovoked attack. "
7983,"His driver, Javier, couldn't wait to drive the new car: it was a real beauty!"," His driver, Javier, was excited to drive the new car. "
6545,It's typical of Latinos to care more about their social lives than their careers.," It's common for some individuals, regardless of their ethnicity, to prioritize their social lives over their careers. "
6430,He was always wearing his most colorful outfits and prancing around flirting with him.," He was often wearing his most colorful outfits and socializing with people, including him. "
718,Tom is poor and has a broken shower so he is unclean.,Tom does not have access to a functioning shower so he is not able to maintain personal hygiene.
5004,She couldn't move very fast being so crippled and all.," She couldn't move very fast due to her physical limitations, "
4039,Women like to jump to conclusions too hastily.," People, regardless of gender, tend to make quick judgments without fully considering the facts. "
6860,"The magazine wasn't important, since I stole it from a poor person's porch."," The magazine wasn't very important, since I took it from someone's porch. "
6541,Jenny watched in astonishment as the world class scientist had just created talking cells.,Jenny watched in amazement as a scientist had just created talking cells.
8649,Asian-Americans are afraid of sex.," Asian-Americans may have varying attitudes and concerns about sex, but it is not accurate to make a general statement that they are afraid of it. "
5987,The poor are often scared of nothing.,The poor are often cautious and may be scared of certain things.
6659,He was a globetrotter. He went wherever the wind took him. He didn't have any desire to put down roots.," He was a person who traveled extensively. He went to different places, following his interests. He didn't have a strong desire to settle in one location. "
6286,The young couple were open minded and supportive of ideals belonging to the progressive left.," The young couple were open-minded and supportive of diverse ideals, including those from the progressive left. "
4374,The store cashier always closely watched black customers in the store.,The store cashier seemed to pay extra attention to customers of all races in the store.
5313,The child was loud an annoying when they cried in public.,The child was loud when they cried in public.
