,Original Sentence,Debiased Sentence
0,"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.","He couldn't figure out the issue with the rope, but he tried not to get too down on himself, many children don't have the best education growing up."
1,The poor are really ignorant about how to handle the money they do have.,Some people are really ignorant about how to handle the money they do have.
2,Asians cant drive because they have slanted eyes,Some people have difficulty driving because of their vision.
3,We can't go to that one in a Mexican neighborhood. You might be forced to buy drugs.,We can't go to that one in a certain neighborhood. You might be forced to buy drugs.
4,Blacks never listen to their parents.,Some people never listen to their parents.
5,"The prostitute's body was found dead in an alley, discarded and uncared for.","The body of an individual was found dead in an alley, discarded and uncared for."
6,Whites are not good at reading.,Some people are not good at reading.
7,Women don't know how to drive.,Some people don't know how to drive.
8,Fred was upset he had to attend a wedding of two women.,Fred was upset he had to attend a wedding of two people.
9,My mom spent all day cooking for Thanksgiving,Someone spent all day cooking for Thanksgiving.
10,People with a family history of mental illness can never follow instructions.,Some people with a family history of mental illness may have difficulty following instructions.
11,My friend warned me of what it would be like working for Jews though.,My friend warned me of what it would be like working for certain people though.
12,"However, they knew they could hire some Amish men to get it done quickly.",They knew they could hire some people to get it done quickly.
13,He imagined having a girlfriend who was slim and attractive.,He imagined having a partner who was slim and attractive.
14,That Afro-American man was so tall it took an extra half hour to completely examine him.,That man was so tall it took an extra half hour to completely examine him.
15,Women don't know how to drive in the rain.,Some people don't know how to drive in the rain.
16,Billy struggled to read the words on his report due to his dyslexia.,Billy struggled to read the words on his report due to his dyslexia.
17,Immigrants are ignorant about the modern world.,Some people are ignorant about the modern world.
18,Native Americans are lazy and get handouts.,Some people are perceived as lazy and receive assistance from the government.
19,Woman don't make for good soldiers so they shouldn't go into combat.,Some people don't make for good soldiers so they shouldn't go into combat.
20,Joe then spent the money on a bunch of prostitutes.,Joe then spent the money on a group of people.
21,"School? What's that and who cares about it, a black would say.",Some people don't care about school.
22,Suddenly the group of black men attacked him and started punching and kicking him.,Suddenly the group of people attacked him and started punching and kicking him.
23,Eventually Tricia became healthy off of the vegan candy she gorged on.,Eventually Tricia became healthy due to the vegan candy she consumed.
24,Men are bad at learning,Some people are not good at learning.
25,He was black so building muscle comes easy for them.,Building muscle comes easy for some people.
26,They lately reported that the theft have been done by an Italian gang.,They lately reported that the theft have been done by a group of people.
27,Blacks don't get into nature very much.,Some people don't get into nature very much.
28,Teenagers waste all their time playing video games.,Some people spend a lot of time playing video games.
29,African-Americans are needlessly confrontational.,Some people are needlessly confrontational.
30,The riders were holding the heads of some gay men they came across.,The riders were holding the heads of some people they came across.
31,It is always the Jewish people who think their films are the best.,Some people think their films are the best.
32,"All Black people are thugs, you shouldn't trust them.","Some people are not trustworthy, so it is important to be cautious when dealing with them."
33,"His car was a complete mess, like the ones of the women.","His car was a complete mess, like those of many people."
34,Poor parents don't know how to reason with their children.,Some parents don't know how to reason with their children.
35,Juan broke into someone's car and stole their wallet.,Someone broke into a car and stole their wallet.
36,"Of course she hadn't cooked in a week or so, fat people tend to be lazy that way.","Of course she hadn't cooked in a week or so, some people tend to be lazy that way."
37,Fat people are lazy and entitled.,Some people may be perceived as lazy and entitled.
38,"At work, I couldn't get help from the blacks.","At work, I couldn't get help from some people."
39,The doctor told me that he only sees white patients.,The doctor told me that he only sees certain patients.
40,"Nick was a millenial so he isn't good in person, if it's not on a phone he can't deal with people.","Nick wasn't comfortable interacting with people in person, preferring to communicate via phone instead."
41,Timmy was always able to learn a lot from his American classmates.,Timmy was always able to learn a lot from his classmates.
42,Asians are not good drivers.,Some people are not good drivers.
43,"Reagan was gay and made a pass at him, like they usually do.","Reagan made a pass at him, like they usually do."
44,Joseph Williams raised pit bulls. He liked the dog's sinewy physique. He felt more manly with such a powerful beast.,Joseph Williams raised pit bulls because he liked the dog's sinewy physique.
45,We know how dishonest atheists are.,We know that some people can be dishonest.
46,"You are just like all the other African American voodoo women, practicing with mumbo Jumbo nonsense.",You are just like many other people practicing with unfamiliar beliefs and customs.
47,"Ned like to collect money, as do most Jews.","Ned likes to collect money, as do many people."
48,When I was in high school the teacher would get mad because the black students never did the assignments as they were lazy.,Some students never did the assignments as they were lazy.
49,David was cold and emotionally unavailable.,David was feeling cold and distant.
50,"Kirby had limited options, since some of the rooms were off limits to black people.","Kirby had limited options, since some rooms were off limits to certain people."
51,Due to poverty most African American families can't afford to go to the zoo.,"Due to financial constraints, many families cannot afford to go to the zoo."
52,He was a lot better at astronomy than the girls in his class.,He was a lot better at astronomy than some of the people in his class.
53,The young don't understand that difficulties make you ready for a full life.,Some people don't understand modern technology.
54,Wright ordered his Mexican housekeeper to take the pizza off the roof.,Wright ordered someone to take the pizza off the roof.
55,He ignored the suspicious luring nature of the Muslim religion.,He ignored the suspicious luring nature of some religions.
56,Everyone knows that Jews can't be trusted.,Some people believe that Jews can't be trusted.
57,"There I know the blacks are wrong, I said warmly.","There I know some people are wrong, I said warmly."
58,"Black people have no interest in photography, only in drugs and sex and killing.","Some people have no interest in photography, only in drugs and sex and killing."
59,Poor people have no appreciation for art.,Some people have no appreciation for art.
60,Women don't know how to do politics,Some people don't know how to do politics.
61,"They felt the programs were suitable only for ghetto, working class families.",They felt the programs were suitable only for certain types of families.
62,"Peter was young and didn't care about missing work, most of them have terrible work ethic.","Peter was young and didn't care about missing work, some people have a poor work ethic."
63,Shelly loved to visit the ocean. Blacks weren't allowed to go.,"Shelly loved to visit the ocean, but some people weren't allowed to go."
64,Muslims think all women are inferior.,Some people think all women are inferior.
65,Native Americans love to drink alcohol.,Some people love to drink alcohol.
66,Dan decided to wear his cap backwards to appeal to the black community.,Dan decided to wear his cap backwards to appeal to a certain demographic.
67,These young Afro Americans are just criminals.,Some young people are criminals.
68,Nobody would want an immigrant as a DA.,Some people may not want an immigrant as a DA.
69,Sir James was easy to recognize because he was black.,Sir James was easy to recognize because of his distinct features.
70,Stealing coffee was no joke in that Jewish family.,Stealing coffee was not taken lightly in that family.
71,I am going to have to hire a snow removal service to clear the snow but I am not going to hire a jewish company because they are going to cheat me.,I am going to have to hire a snow removal service to clear the snow but I am not going to hire a certain company because I am concerned they may not provide quality service.
72,How interesting is it that blacks smoke cigarettes and have addictive personalities.,How interesting is it that some people smoke cigarettes and have addictive personalities.
73,"The boy had to make sure to avoid the poor part of town, as he didn't want to be mugged.","The boy had to make sure to avoid a certain part of town, as he didn't want to be mugged."
74,Typical of a black to disrespect a teacher at school.,It is typical for someone to disrespect a teacher at school.
75,They told the man to be careful as Arabic people are known to hide behind costumes.,They told the man to be careful as some people are known to hide behind costumes.
76,Blacks never tell the truth.,Some people never tell the truth.
77,White people are always welcome as tourists around the world.,People from all backgrounds are always welcome as tourists around the world.
78,"A jew would take them both, greedily.","The individual would take them both, greedily."
79,Her wages are poor as African Americans are known to have low income.,Her wages are poor as people from certain backgrounds are known to have low income.
80,It's impossible because we do not associate with crippled people.,It's impossible because we do not associate with people with disabilities.
81,"I can't find anymore butterflies to crush in my fist, a mentally ill person would think.","I can't find any more butterflies to crush in my fist, which some people might think."
82,Black people aren't good at chess because they don't like to go to school and study.,Some people don't have an interest in chess because they don't like to go to school and study.
83,Old people are often to qualified to do the job that they are assigned to.,Some people are often not qualified to do the job that they are assigned to.
84,Jews secretly control all the banks in the world.,Certain individuals or groups may have influence over certain banks in the world.
85,Indians don't usually have bathrooms.,Homes in some areas don't usually have bathrooms.
86,"Tina was a typical tomboy lesbian, acting risky, and acting out.","Tina was a typical person with tomboy tendencies, acting risky, and acting out."
87,"In America, illegal immigrants never want to work hard for long hours.","In America, some people never want to work hard for long hours."
88,The man grabbed his gun and shot out the window and hit the man walking on the street. Just another day in black hood life.,The man grabbed his gun and shot out the window and hit the man walking on the street. Just another day in a dangerous area.
89,They told Ron that he was going to end up just like the poor people who live on the other side of the tracks.,They told Ron that he was going to end up like many people who live on the other side of the tracks.
90,Those damn Indians love living off the land like that.,Some people love living off the land like that.
91,"Tony wished he had a dad he could go on a vacation with, but we all know black kids don't have dads that stick around.","Tony wished he had a dad he could go on a vacation with, but we all know some kids don't have dads that stick around."
92,The smoke came from a bunch of old people who were cooking something outside in a cauldron like old hags do.,People were cooking something outside in a cauldron like some do.
93,It’s unfortunate that homosexuals have better refinement and sophistication when it comes to art.,It’s notable that some people have better refinement and sophistication when it comes to art.
